"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2017","2,422.96","2,397.12","2,432.62","2,394.27","264.04K","0.84%"
"Jul 31, 2017","2,402.71","2,392.02","2,403.90","2,388.39","277.57K","0.07%"
"Jul 28, 2017","2,400.99","2,433.46","2,434.38","2,399.06","318.65K","-1.73%"
"Jul 27, 2017","2,443.24","2,443.28","2,448.24","2,435.49","426.50K","0.36%"
"Jul 26, 2017","2,434.51","2,446.82","2,446.96","2,429.62","336.11K","-0.22%"
"Jul 25, 2017","2,439.90","2,450.76","2,453.17","2,437.14","275.20K","-0.47%"
"Jul 24, 2017","2,451.53","2,451.41","2,451.53","2,443.65","233.41K","0.06%"
"Jul 21, 2017","2,450.06","2,438.78","2,451.59","2,437.84","250.13K","0.34%"
"Jul 20, 2017","2,441.84","2,436.06","2,443.69","2,427.95","251.92K","0.49%"
"Jul 19, 2017","2,429.94","2,430.09","2,430.09","2,419.64","270.97K","0.16%"
"Jul 18, 2017","2,426.04","2,425.07","2,426.16","2,419.17","260.66K","0.04%"
"Jul 17, 2017","2,425.10","2,427.76","2,430.34","2,419.91","254.21K","0.43%"
"Jul 14, 2017","2,414.63","2,418.27","2,421.48","2,411.34","258.77K","0.21%"
"Jul 13, 2017","2,409.49","2,405.76","2,422.26","2,402.92","289.26K","0.74%"
"Jul 12, 2017","2,391.77","2,395.41","2,399.28","2,390.45","268.93K","-0.18%"
"Jul 11, 2017","2,396.00","2,386.42","2,396.46","2,382.69","284.46K","0.58%"
"Jul 10, 2017","2,382.10","2,386.30","2,389.87","2,378.04","296.26K","0.09%"
"Jul 07, 2017","2,379.87","2,376.29","2,385.02","2,372.83","314.37K","-0.33%"
"Jul 06, 2017","2,387.81","2,390.31","2,392.50","2,380.82","301.47K","-0.02%"
"Jul 05, 2017","2,388.35","2,377.01","2,390.29","2,375.63","333.72K","0.33%"
"Jul 04, 2017","2,380.52","2,395.24","2,398.02","2,376.41","411.78K","-0.58%"
"Jul 03, 2017","2,394.48","2,397.66","2,399.90","2,384.55","310.99K","0.11%"
"Jun 30, 2017","2,391.79","2,382.15","2,391.81","2,381.40","343.53K","-0.16%"
"Jun 29, 2017","2,395.66","2,396.81","2,402.80","2,393.57","445.13K","0.55%"
"Jun 28, 2017","2,382.56","2,382.91","2,390.89","2,380.75","361.18K","-0.39%"
"Jun 27, 2017","2,391.95","2,386.76","2,397.14","2,383.47","358.03K","0.14%"
"Jun 26, 2017","2,388.66","2,381.09","2,390.70","2,377.88","325.67K","0.42%"
"Jun 23, 2017","2,378.60","2,371.54","2,380.94","2,369.17","256.26K","0.35%"
"Jun 22, 2017","2,370.37","2,364.22","2,370.39","2,354.10","299.23K","0.54%"
"Jun 21, 2017","2,357.53","2,358.23","2,359.97","2,346.19","360.34K","-0.49%"
"Jun 20, 2017","2,369.23","2,382.54","2,382.54","2,365.45","360.73K","-0.07%"
"Jun 19, 2017","2,370.90","2,364.02","2,377.20","2,356.84","290.94K","0.38%"
"Jun 16, 2017","2,361.83","2,364.20","2,365.37","2,355.29","329.18K","0.01%"
"Jun 15, 2017","2,361.65","2,373.36","2,378.04","2,350.37","334.89K","-0.46%"
"Jun 14, 2017","2,372.64","2,384.54","2,387.29","2,366.92","393.00K","-0.09%"
"Jun 13, 2017","2,374.70","2,358.92","2,375.81","2,358.92","322.08K","0.71%"
"Jun 12, 2017","2,357.87","2,370.69","2,374.70","2,353.35","327.23K","-1.00%"
"Jun 09, 2017","2,381.69","2,371.22","2,385.15","2,367.81","520.56K","0.77%"
"Jun 08, 2017","2,363.57","2,361.64","2,365.52","2,347.62","417.08K","0.15%"
"Jun 07, 2017","2,360.14","2,364.96","2,369.43","2,356.71","376.21K","-0.36%"
"Jun 05, 2017","2,368.62","2,376.66","2,376.83","2,363.61","326.41K","-0.13%"
"Jun 02, 2017","2,371.72","2,353.77","2,372.65","2,353.45","399.50K","1.16%"
