Genes,Feature1,Feature2,Feature3,Feature4
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'BSG',108.93,-1.6556,-1.8157,-1.0586
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP7',46.061,-1.2777,-1.18,-0.22923
'CASP7',46.061,-1.2777,-1.18,-0.22923
'CASP7',46.061,-1.2777,-1.18,-0.22923
'CASP7',46.061,-1.2777,-1.18,-0.22923
'CCND1',46.65,-0.20034,-0.60782,0.72024
'CCND1',46.65,-0.20034,-0.60782,0.72024
'CCND1',46.65,-0.20034,-0.60782,0.72024
'CCND1',46.65,-0.20034,-0.60782,0.72024
'CCND1',46.65,-0.20034,-0.60782,0.72024
'CDKN1A',90.421,0.56959,0.20247,1.2677
'CDKN1A',90.421,0.56959,0.20247,1.2677
'CDKN1A',90.421,0.56959,0.20247,1.2677
'CDKN1A',90.421,0.56959,0.20247,1.2677
'CDKN1A',90.421,0.56959,0.20247,1.2677
'CDKN1A',90.421,0.56959,0.20247,1.2677
'CDKN1A',90.421,0.56959,0.20247,1.2677
'BAX',52.291,0.86985,0.52212,2.4027
'CDKN1A',90.421,0.56959,0.20247,1.2677
'CD34',18.859,2.9741,2.5482,0.12616
'CDKN1A',90.421,0.56959,0.20247,1.2677
'CRY2',24.579,-1.0551,-1.21,0.35295
'CRY2',24.579,-1.0551,-1.21,0.35295
'CRY2',24.579,-1.0551,-1.21,0.35295
'GADD45A',47.647,1.2286,0.66229,-0.32341
'GADD45A',47.647,1.2286,0.66229,-0.32341
